SNR_dB,CAR_classical,CAR_DL_SemCom,CAR_LPG,TUP_classical,TUP_DL_SemCom,TUP_LPG,SEP_classical,SEP_DL_SemCom,SEP_LPG,NSC_LPG
4.0,0.07438796426577367,0.27016984600035143,0.9035789525549177,0.14248588998324987,0.36153927372028816,0.9157557934672866,0.9256120357342263,0.7298301539996486,0.09642104744508229,451.4133591557271
4.200000000000001,0.082476785107824,0.29364196515599983,0.9138549202216459,0.14928049949057215,0.38078641142791986,0.9236682885706674,0.917523214892176,0.7063580348440002,0.08614507977835406,466.481148321942
4.4,0.09135835712826632,0.31826405169380567,0.9231289066876107,0.1567410199877437,0.4009765223889207,0.9308092581494603,0.9086416428717337,0.6817359483061943,0.07687109331238928,481.5497738960186
4.600000000000001,0.10109097125190863,0.343945416361349,0.931479357506409,0.16491641585160327,0.42203524141630616,0.9372391052799349,0.8989090287480914,0.656054583638651,0.06852064249359102,496.6201173997879
4.800000000000001,0.11173292615882241,0.370572627853611,0.9389826630168777,0.17385565797341082,0.44386955483996104,0.9430166505229959,0.8882670738411775,0.629427372146389,0.06101733698312228,511.6942262412444
5.0,0.12334145340135114,0.3980106427086625,0.945712210715348,0.18360682085713495,0.4663687270211032,0.9481984022508179,0.8766585465986488,0.6019893572913375,0.054287789284652055,526.7750101480596
5.200000000000001,0.13597143286838928,0.42610491126929984,0.9517377103407608,0.194216003609447,0.4894060272408259,0.9528380369623858,0.8640285671316107,0.5738950887307002,0.04826228965923918,541.8659790614917
5.4,0.1496738967683473,0.45468443394080804,0.9571247490686654,0.20572607328541176,0.5128412358314626,0.9569860567828723,0.8503261032316527,0.545315566059192,0.042875250931334596,556.9710216183305
5.600000000000001,0.16449433165033842,0.48356566690381975,0.9619345358195437,0.2181752385862843,0.5365238468611322,0.9606895925810486,0.8355056683496616,0.5164343330961803,0.03806546418045631,572.0942218427879
5.800000000000001,0.1804708024204071,0.512557103772272,0.9662237969721225,0.23159547403314196,0.5602968250932631,0.9639923236685343,0.8195291975795929,0.48744289622772796,0.03377620302787754,587.2397107323967
6.0,0.1976319396053193,0.5414642985444256,0.9700447899855992,0.24601082926846823,0.584000724806429,0.9669344882889114,0.8023680603946807,0.45853570145557443,0.029955210014400824,602.4115489282317
6.200000000000001,0.215994850603784,0.5700950538222365,0.9734454060202842,0.2614356745071786,0.607477944134234,0.9695529626356189,0.784005149396216,0.42990494617776354,0.026554593979715824,617.6136364965537
6.4,0.2355630361468016,0.5982644824986062,0.9764693372160358,0.27787295036331333,0.630576875648857,0.9718813896563475,0.7644369638531984,0.4017355175013938,0.023530662783964207,632.8496459189754
